number,DG_num,DG,lumo,EA,bv-3.5,f+2,f+3,f+4,f+5,f+6,f-2,f-3,f-4,f-5,f-6,f0-2,f0-3,f0-4,f0-5,f0-6,Q2,Q3,Q4,Q5,Q6
169,35,C1(C2=CC=CC=C2)=NCCO1,-0.02246,-0.009713873,0.582644195,0.07019,0.02297,0.1608,0.02912,0.0627,0.04946,0.0238,0.1477,0.01284,0.05812,0.059825,0.023385,0.15425,0.02098,0.06041,-0.17864,-0.20513,-0.19817,-0.20459,-0.16614
170,35,C1(C2=CC=CC=C2)=NCCO1,-0.02246,-0.009713873,0.582644195,0.07019,0.02297,0.1608,0.02912,0.0627,0.04946,0.0238,0.1477,0.01284,0.05812,0.059825,0.023385,0.15425,0.02098,0.06041,-0.17864,-0.20513,-0.19817,-0.20459,-0.16614
171,55,C1(C2=NCCCO2)=CC=CC=C1,-0.01203,-0.050686049,0.614051435,0.0755,0.02021,0.1637,0.03341,0.05874,0.074,-0.00046,0.14919,0.0607,0.0215,0.07475,0.009875,0.156445,0.047055,0.04012,-0.16363,-0.2111,-0.19723,-0.21169,-0.17768
172,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
173,56,CC(C=C1)=CC=C1C2=NC=CC=N2,-0.05114,0.026878361,0.608617918,0.07288,0.00789,0.12705,0.02088,0.052,0.0391,0.02742,0.17391,0.03532,0.02575,0.05599,0.017655,0.15048,0.0281,0.038875,-0.15732,-0.21141,-0.00286,-0.2098,-0.15764
174,16,COC(C=C1)=CC=C1C2=NC=CC=N2,-0.04887,0.008241822,0.608810101,0.08295,0.00428,0.11565,0.01906,0.05117,0.02686,0.06016,0.08186,0.07493,0.00097,0.054905,0.03222,0.098755,0.046995,0.02607,-0.14104,-0.30361,0.30111,-0.25002,-0.14698
175,57,ClC(C=C1)=CC=C1C2=NC=CC=N2,-0.05889,0.071511673,0.608914927,0.06149,0.019,0.10848,0.019,0.06149,0.02928,0.03503,0.09825,0.03504,0.02927,0.045385,0.027015,0.103365,0.02702,0.04538,-0.15321,-0.22799,-0.02697,-0.22799,-0.15321
176,58,O=C(C(C=C1)=CC=C1C2=NC=CC=N2)OC,-0.05969,0.140171956,0.60921776,0.04334,0.03413,0.09097,0.03406,0.044,0.0403,0.01388,0.18616,0.00908,0.05028,0.04182,0.024005,0.138565,0.02157,0.04714,-0.17252,-0.15879,-0.14879,-0.16621,-0.17357
177,7,N1(C2=CC=CC=C2)C=CC=N1,-0.02442,-0.073387417,0.607464825,0.07458,0.01748,0.15418,0.04819,0.03747,0.05861,0.02373,0.16144,0.0114,0.07124,0.066595,0.020605,0.15781,0.029795,0.054355,-0.22955,-0.19268,-0.21924,-0.1905,-0.21237
178,59,BrC1=CN(C2=CC=CC=C2)N=C1,-0.03049,-0.023254363,0.609334234,0.0406,0.0416,0.14446,0.01699,0.07029,0.06181,0.00856,0.13396,0.02405,0.04641,0.051205,0.02508,0.13921,0.02052,0.05835,-0.21047,-0.1892,-0.2155,-0.19092,-0.22786
179,33,CC1=NN(C2=CC=CC=C2)C(C)=C1,-0.02129,-0.102102495,0.658620248,0.04175,0.04225,0.17013,0.02661,0.06472,0.05307,0.02002,0.13363,0.0114,0.06073,0.04741,0.031135,0.15188,0.019005,0.062725,-0.2256,-0.19732,-0.21589,-0.19525,-0.20376
180,60,CC(N1C=NC(C1=NC=N2)=C2C3=CC=CC=C3)C,-0.02151,0.078068636,0.646250699,0.05789,0.01284,0.10819,0.01564,0.05648,0.03632,0.02237,0.13824,0.01656,0.04638,0.047105,0.017605,0.123215,0.0161,0.05143,-0.17587,-0.21072,-0.19064,-0.21239,-0.16254
181,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
182,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
183,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
184,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
185,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
186,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
187,10,C1(C2=CC=CC=C2)=NC=CC=C1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
188,61,C1(NC2=NC=CC=N2)=CC=CC=C1,-0.03305,-0.030101198,0.528466269,0.06066,0.03184,0.03809,0.05425,0.02264,0.07684,0.00888,0.15139,0.01193,0.07494,0.06875,0.02036,0.09474,0.03309,0.04879,-0.23963,-0.19303,-0.23574,-0.18589,-0.24811
189,62,ClC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04162,0.032349829,0.528343971,0.04393,0.0265,0.03993,0.03723,0.0182,0.07227,0.00809,0.14119,0.01175,0.06919,0.0581,0.017295,0.09056,0.02449,0.043695,-0.23841,-0.19202,-0.23327,-0.18496,-0.24727
190,63,FC1=CC=C(NC2=NC=CC=N2)C=C1,-0.03449,-0.015681508,0.528320676,0.06868,0.05592,0.02018,0.06334,0.04253,0.06773,0.02339,0.11374,0.02627,0.0668,0.068205,0.039655,0.06696,0.044805,0.054665,-0.22046,-0.25929,0.35638,-0.25358,-0.22875
191,63,FC1=CC=C(NC2=NC=CC=N2)C=C1,-0.03449,-0.015681508,0.528320676,0.06868,0.05592,0.02018,0.06334,0.04253,0.06773,0.02339,0.11374,0.02627,0.0668,0.068205,0.039655,0.06696,0.044805,0.054665,-0.22046,-0.25929,0.35638,-0.25358,-0.22875
192,63,FC1=CC=C(NC2=NC=CC=N2)C=C1,-0.03449,-0.015681508,0.528320676,0.06868,0.05592,0.02018,0.06334,0.04253,0.06773,0.02339,0.11374,0.02627,0.0668,0.068205,0.039655,0.06696,0.044805,0.054665,-0.22046,-0.25929,0.35638,-0.25358,-0.22875
193,64,FC1=CC=C(NC2=CC=CC=N2)C=C1,-0.03449,-0.015681508,0.535303299,0.11047,0.08628,0.00317,0.10738,0.06053,0.05832,0.02238,0.09438,0.01995,0.05525,0.084395,0.05433,0.048775,0.063665,0.05789,-0.21515,-0.25608,0.35788,-0.25566,-0.22877
194,61,C1(NC2=NC=CC=N2)=CC=CC=C1,-0.03305,-0.030101198,0.528466269,0.06066,0.03184,0.03809,0.05425,0.02264,0.07684,0.00888,0.15139,0.01193,0.07494,0.06875,0.02036,0.09474,0.03309,0.04879,-0.23963,-0.19303,-0.23574,-0.18589,-0.24811
195,66,COC1=CC=C(NC2=NC=CC=N2)C=C1,-0.02653,-0.04539923,0.52785478,0.05682,0.05588,0.02457,0.04739,0.04809,0.04148,0.03903,0.09219,0.03809,0.06155,0.04915,0.047455,0.05838,0.04274,0.05482,-0.21632,-0.23121,0.26175,-0.27903,-0.22534
196,67,BrC1=CC=C(NC2=NC=CC=N2)C=C1,-0.0411,0.000520866,0.528151789,0.0758,0.03487,0.01618,0.07281,0.02573,0.06335,0.01134,0.08643,0.0141,0.06248,0.069575,0.023105,0.051305,0.043455,0.044105,-0.2259,-0.215,-0.10953,-0.20844,-0.23447
197,68,ClC1=CC=C(NC2=NC=CC=N2)C=C1,-0.03998,-0.004109271,0.528279911,0.07454,0.03757,0.0203,0.06836,0.02935,0.06529,0.01315,0.09955,0.01584,0.06466,0.069915,0.02536,0.059925,0.0421,0.047005,-0.22559,-0.20993,-0.06366,-0.20334,-0.23438
198,65,FC1=CC=C(NC2=CC=CC=C2)C=C1,-0.02421,-0.109399578,0.543206066,0.0682,0.14114,0.00107,0.08694,0.1341,0.06096,0.02091,0.09444,0.01685,0.05922,0.06458,0.081025,0.047755,0.051895,0.09666,-0.22481,-0.25551,0.35171,-0.25387,-0.23401
199,65,FC1=CC=C(NC2=CC=CC=C2)C=C1,-0.02421,-0.109399578,0.543206066,0.0682,0.14114,0.00107,0.08694,0.1341,0.06096,0.02091,0.09444,0.01685,0.05922,0.06458,0.081025,0.047755,0.051895,0.09666,-0.22481,-0.25551,0.35171,-0.25387,-0.23401
200,65,FC1=CC=C(NC2=CC=CC=C2)C=C1,-0.02421,-0.109399578,0.543206066,0.0682,0.14114,0.00107,0.08694,0.1341,0.06096,0.02091,0.09444,0.01685,0.05922,0.06458,0.081025,0.047755,0.051895,0.09666,-0.22481,-0.25551,0.35171,-0.25387,-0.23401
201,65,FC1=CC=C(NC2=CC=CC=C2)C=C1,-0.02421,-0.109399578,0.543206066,0.0682,0.14114,0.00107,0.08694,0.1341,0.06096,0.02091,0.09444,0.01685,0.05922,0.06458,0.081025,0.047755,0.051895,0.09666,-0.22481,-0.25551,0.35171,-0.25387,-0.23401
202,65,FC1=CC=C(NC2=CC=CC=C2)C=C1,-0.02421,-0.109399578,0.543206066,0.0682,0.14114,0.00107,0.08694,0.1341,0.06096,0.02091,0.09444,0.01685,0.05922,0.06458,0.081025,0.047755,0.051895,0.09666,-0.22481,-0.25551,0.35171,-0.25387,-0.23401
203,65,FC1=CC=C(NC2=CC=CC=C2)C=C1,-0.02421,-0.109399578,0.543206066,0.0682,0.14114,0.00107,0.08694,0.1341,0.06096,0.02091,0.09444,0.01685,0.05922,0.06458,0.081025,0.047755,0.051895,0.09666,-0.22481,-0.25551,0.35171,-0.25387,-0.23401
204,61,C1(NC2=NC=CC=N2)=CC=CC=C1,-0.03305,-0.030101198,0.528466269,0.06066,0.03184,0.03809,0.05425,0.02264,0.07684,0.00888,0.15139,0.01193,0.07494,0.06875,0.02036,0.09474,0.03309,0.04879,-0.23963,-0.19303,-0.23574,-0.18589,-0.24811
205,62,ClC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04162,0.032349829,0.528343971,0.04393,0.0265,0.03993,0.03723,0.0182,0.07227,0.00809,0.14119,0.01175,0.06919,0.0581,0.017295,0.09056,0.02449,0.043695,-0.23841,-0.19202,-0.23327,-0.18496,-0.24727
206,69,ClC1=NC(NC2=CC=CC=C2)=NC(Cl)=C1,-0.05103,0.054310499,0.528355619,0.04114,0.02723,0.03668,0.03438,0.01903,0.07224,0.00932,0.14848,0.01304,0.06844,0.05669,0.018275,0.09258,0.02371,0.043735,-0.23564,-0.19172,-0.2282,-0.18409,-0.24318
207,62,ClC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04162,0.032349829,0.528343971,0.04393,0.0265,0.03993,0.03723,0.0182,0.07227,0.00809,0.14119,0.01175,0.06919,0.0581,0.017295,0.09056,0.02449,0.043695,-0.23841,-0.19202,-0.23327,-0.18496,-0.24727
208,62,ClC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04162,0.032349829,0.528343971,0.04393,0.0265,0.03993,0.03723,0.0182,0.07227,0.00809,0.14119,0.01175,0.06919,0.0581,0.017295,0.09056,0.02449,0.043695,-0.23841,-0.19202,-0.23327,-0.18496,-0.24727
209,62,ClC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04162,0.032349829,0.528343971,0.04393,0.0265,0.03993,0.03723,0.0182,0.07227,0.00809,0.14119,0.01175,0.06919,0.0581,0.017295,0.09056,0.02449,0.043695,-0.23841,-0.19202,-0.23327,-0.18496,-0.24727
210,62,ClC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04162,0.032349829,0.528343971,0.04393,0.0265,0.03993,0.03723,0.0182,0.07227,0.00809,0.14119,0.01175,0.06919,0.0581,0.017295,0.09056,0.02449,0.043695,-0.23841,-0.19202,-0.23327,-0.18496,-0.24727
211,62,ClC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04162,0.032349829,0.528343971,0.04393,0.0265,0.03993,0.03723,0.0182,0.07227,0.00809,0.14119,0.01175,0.06919,0.0581,0.017295,0.09056,0.02449,0.043695,-0.23841,-0.19202,-0.23327,-0.18496,-0.24727
212,62,ClC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04162,0.032349829,0.528343971,0.04393,0.0265,0.03993,0.03723,0.0182,0.07227,0.00809,0.14119,0.01175,0.06919,0.0581,0.017295,0.09056,0.02449,0.043695,-0.23841,-0.19202,-0.23327,-0.18496,-0.24727
213,62,ClC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04162,0.032349829,0.528343971,0.04393,0.0265,0.03993,0.03723,0.0182,0.07227,0.00809,0.14119,0.01175,0.06919,0.0581,0.017295,0.09056,0.02449,0.043695,-0.23841,-0.19202,-0.23327,-0.18496,-0.24727
214,70,O=C(C)C1=CC=CC=C1,-0.02724,0.031346745,0.512421962,0.08028,0.0226,0.02453,0.16482,0.07573,0.10092,0.01074,0.10767,0.09231,0.01667,0.0906,0.01667,0.0661,0.128565,0.0462,-0.15162,-0.20934,-0.21303,-0.18274,-0.17571
215,71,CC(C1=CC=CC=C1)=NC2=CC=C(OC)C=C2,-0.02516,0.047407001,0.620428392,0.0418,0.0259,0.12681,0.01769,0.05806,0.00132,0.00726,0.04143,0.02214,0.01613,0.02156,0.01658,0.08412,0.019915,0.037095,-0.17572,-0.20267,-0.20127,-0.20578,-0.19392
216,72,CC(C1=CC=CC=C1)=NOC,-0.01757,-0.009235492,0.579988586,0.06108,0.02955,0.16491,0.02186,0.07278,0.04781,0.0155,0.13634,0.0251,0.05083,0.054445,0.022525,0.150625,0.02348,0.061805,-0.1683,-0.20889,-0.19659,-0.2101,-0.184
217,73,CC(C1=CC=CC=C1)=NOC(C)=O,-0.02608,0.059666957,0.589015328,0.0629,0.02346,0.14848,0.01944,0.06948,0.05241,0.01146,0.15623,0.03951,0.03571,0.057655,0.01746,0.152355,0.029475,0.052595,-0.15994,-0.20449,-0.18792,-0.20937,-0.17932
218,74,CC(C1=CC=CC=C1)=NOC(C(C)(C)C)=O,-0.02922,0.047373181,0.591216688,0.0523,0.0288,0.15024,0.02518,0.05849,0.05271,0.00417,0.14095,0.04895,0.0182,0.052505,0.016485,0.145595,0.037065,0.038345,-0.17307,-0.20597,-0.19769,-0.20413,-0.1855
219,75,ClC1=CC=CC(C2=CC=CC=C2)=N1,-0.0456,0.060639289,0.625104827,0.05587,0.01778,0.12493,0.01726,0.06142,0.04229,0.02091,0.14574,0.01708,0.04846,0.04908,0.019345,0.135335,0.01717,0.05494,-0.18163,-0.20612,-0.19646,-0.20304,-0.16859
220,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
221,76,O=C(C(C)(C)C)NC1=CC=CC=C1,-0.01694,-0.123512681,0.608833395,0.10192,0.12242,-0.00412,0.11195,0.10193,0.07946,0.01661,0.18588,0.01596,0.07996,0.09069,0.069515,0.09088,0.063955,0.090945,-0.24093,-0.19354,-0.23053,-0.18591,-0.23852
222,77,O=C(C(C)(C)C)N(CC)C1=CC=CC=C1,-0.01636,-0.0733711,0.756877795,0.09514,0.17167,-0.00068,0.10463,0.16386,0.01679,0.04589,0.12047,0.00829,0.04396,0.055965,0.10878,0.059895,0.05646,0.10391,-0.2176,-0.20102,-0.20923,-0.20038,-0.19309
223,78,O=C(C1=CC=CC=C1)NC2=CC=CC=C2,-0.03089,0.029755202,0.56872554,0.06151,0.019,0.14184,0.02677,0.05599,0.0152,0.01145,0.06604,0.02301,0.01816,0.038355,0.015225,0.10394,0.02489,0.037075,-0.19578,-0.20634,-0.19095,-0.20318,-0.16005
224,79,O=C(C1=CC=CC=C1)N2C3=CC=CC=C3CC2,-0.02544,0.035855081,0.621505777,0.04449,0.03032,0.1364,0.01753,0.05954,0.01613,0.01494,0.04591,0.01492,0.00283,0.03031,0.02263,0.091155,0.016225,0.031185,-0.16462,-0.20583,-0.19565,-0.20872,-0.19003
225,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
226,80,CC1=NN(C2=CC=CC=C2)C(OC)=C1,-0.0131,-0.127117856,0.647031075,0.0728,0.02022,0.16472,0.04902,0.03556,0.06162,0.01443,0.13906,0.01469,0.06037,0.06721,0.017325,0.15189,0.031855,0.047965,-0.2148,-0.19562,-0.222,-0.19656,-0.22782
227,81,ClC1=CC(C)=NN1C2=CC=CC=C2,-0.02379,0.04512609,0.66193976,0.14785,0.18618,-0.02109,0.16596,0.16725,0.05024,0.01953,0.13988,0.01633,0.05448,0.099045,0.102855,0.059395,0.091145,0.110865,-0.21276,-0.19718,-0.20903,-0.19698,-0.19991
228,82,CN(C)C1=CC=CC=C1,-0.00565,-0.221123927,0.557666325,0.16896,0.18262,-0.02426,0.18262,0.16896,0.10679,0.00586,0.17116,0.00587,0.10678,0.137875,0.09424,0.07345,0.094245,0.13787,-0.27694,-0.18352,-0.26012,-0.18352,-0.27694
229,83,CC1=CC=CC=C1C2=NCCO2,-0.01626,-0.007210387,0.609701127,0.06838,0.02236,0.1597,0.01914,0.06428,0.03646,0.02665,0.14525,0.0038,0.0707,0.05242,0.024505,0.152475,0.01147,0.06749,-0.15647,-0.21549,-0.18931,-0.20529,0.01742
230,84,FC1=CC=CC(N2C=CC=N2)=C1,-0.02599,-0.040078437,0.60755218,0.0349,0.04875,0.15285,0.00843,0.08235,0.09715,-0.00063,0.17398,0.01699,0.0443,0.066025,0.02406,0.163415,0.01271,0.063325,-0.24828,-0.17431,-0.28764,0.3959,-0.28289
231,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
232,85,C1(C2=NC(C=CC=C3)=C3N2CC4=CC=CC=C4)=CC=CC=C1,-0.02906,0.034565828,0.682404258,0.06054,0.01068,0.12263,0.03129,0.0352,0.03402,0.01339,0.08475,0.01076,0.03343,0.04728,0.012035,0.10369,0.021025,0.034315,-0.19868,-0.20438,-0.19959,-0.20203,-0.16479
233,86,CC(C=N1)=CN=C1NC2=CC=CC=C2,-0.04966,-0.006653,0.527796543,0.01305,0.07334,0.01064,0.14284,0.00775,-0.01171,0.011,0.04996,0.0468,0.02013,0.00067,0.04217,0.0303,0.09482,0.01394,0.1455,-0.25001,-0.18598,-0.23787,-0.19321
234,87,CC1=CC=CC=C1C(O)=O,-0.06073,0.002318,0.499790347,0.04999,0.20257,0.08531,0.00482,0.23736,0.08525,0.07712,0.0225,0.18158,0.0207,0.06762,0.139845,0.053905,0.0932,0.12903,-0.18235,0.04634,-0.21316,-0.17135,-0.22413
235,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,-0.005465,-0.0152,0.078025,0.02178,0.06351,0.14216,-0.07839,-0.19997,-0.21597,-0.20978
236,24,CC(C=CC=C1)=C1C2=NC=CC=C2,-0.03382,-0.01223597,0.65755451,0.04917,0.01958,0.12397,0.01889,0.04685,-0.00375,0.08333,0.13917,-0.01456,0.10754,0.02271,0.051455,0.13157,0.002165,0.077195,-0.18274,-0.21747,-0.19549,-0.20332,0.02082
237,88,FC(C(C=CC=C1)=C1C2=NC=CC=C2)(F)F,-0.0586,0.011594278,0.703579249,0.07075,0.08639,0.00044,0.12402,0.06813,0.07776,0.03691,0.03111,0.14886,0.01134,0.074255,0.06165,0.015775,0.13644,0.039735,-0.02883,-0.11909,-0.17263,-0.20265,-0.18798
238,89,COC(C=CC=C1)=C1C2=NC=CC=C2,-0.0492,-0.002969859,0.660891493,0.03525,0.03285,0.03572,0.13431,0.00524,0.11937,0.07395,0.0087,0.09608,0.10627,0.07731,0.0534,0.02221,0.115195,0.055755,-0.118,0.30578,-0.30048,-0.1793,-0.23723
239,90,C1(OC2=NC=CC=C2)=CC=CC=C1,-0.03954,-0.016139,0.607039694,0.069,0.017,0.048,0.084,0.013,0.06,0.007,0.141,0.034,0.041,0.0645,0.012,0.0945,0.059,0.027,-0.233,-0.196,-0.222,-0.197,-0.238
240,90,C1(OC2=NC=CC=C2)=CC=CC=C1,-0.03954,-0.016139,0.607039694,0.069,0.017,0.048,0.084,0.013,0.06,0.007,0.141,0.034,0.041,0.0645,0.012,0.0945,0.059,0.027,-0.233,-0.196,-0.222,-0.197,-0.238
241,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
242,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
243,91,COC1=CC=C(CC2=C(C3=NC=CC=C3)C=CC=C2)C=C1,-0.04857,0.00063,0.678985744,0.037,0.011,0.108,0.018,0.043,-0.004,0.008,0.057,0.018,0.035,0.0165,0.0095,0.0825,0.018,0.039,0.03,-0.21,-0.192,-0.217,-0.184
244,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
245,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
246,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
247,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
248,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
249,91,COC1=CC=C(CC2=C(C3=NC=CC=C3)C=CC=C2)C=C1,-0.04857,0.00063,0.678985744,0.037,0.011,0.108,0.018,0.043,-0.004,0.008,0.057,0.018,0.035,0.0165,0.0095,0.0825,0.018,0.039,0.03,-0.21,-0.192,-0.217,-0.184
250,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
251,92,FC(C1=CC=C(CC2=C(C3=NC=CC=C3)C=CC=C2)C=C1)(F)F,-0.05619,0.009399,0.679131336,0.033,0.007,0.103,0.019,0.041,0.106,-0.014,0.103,0.09,-0.011,0.0695,-0.0035,0.103,0.0545,0.015,0.027,-0.211,-0.191,-0.213,-0.182
252,84,FC1=CC=CC(N2C=CC=N2)=C1,-0.02599,-0.040078437,0.60755218,0.0349,0.04875,0.15285,0.00843,0.08235,0.09715,-0.00063,0.17398,0.01699,0.0443,0.066025,0.02406,0.163415,0.01271,0.063325,-0.24828,-0.17431,-0.28764,0.3959,-0.28289
253,93,FC1=CC=CC(N2C=CC=N2)=C1C3=CC=C(OC)C=C3,-0.04522,-0.001414,0.696946049,0.118,-0.09,0.131,0.252,-0.027,-0.012,0.087,0.008,-0.07,0.024,0.053,-0.0015,0.0695,0.091,-0.0015,-0.091,0.321,-0.24,-0.048,-0.23
254,94,FC1=CC(C2=NCCO2)=CC=C1,-0.05696,0.001687,0.616677926,0.094,0.007,0.173,0.042,0.055,0.008,0.067,0.127,-0.007,0.116,0.051,0.037,0.15,0.0175,0.0855,-0.241,0.378,-0.261,-0.191,-0.177
255,95,FC1=C(C2=CC=C(OC)C=C2)C(C3=NCCO3)=CC=C1,-0.05105,0.004593,0.690889396,0.104,-0.018,0.13,0.082,0.009,-0.018,0.047,0.002,0.084,0.032,0.043,0.0145,0.066,0.083,0.0205,-0.066,0.391,-0.256,-0.196,-0.173
